,code,name,cat1,cat2,cat3,cat4,cat5,cat6,info,year
0,1005,Tietokoneohjelmistot,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineettomat hyödykkeet,Aineettomat oikeudet,,,2023
1,1006,Muut aineettomat oikeudet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineettomat hyödykkeet,Aineettomat oikeudet,,,2023
2,1010,Muut pitkävaikutteiset menot,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineettomat hyödykkeet,,,"Kunta, ky, LL, Kons",2023
3,1012,Konserniliikearvo,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineettomat hyödykkeet,,,,2023
4,1020,Ennakkomaksut,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineettomat hyödykkeet,,,"Kunta, ky, LL, Kons",2023
5,1100,Maa- ja vesialueet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Maa- ja vesialueet (sis. arvonkorotukset),Maa- ja vesialueet (ilman arvonkorotuksia),,2023
6,1102,Kiinteistöjen liittymismaksut,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Maa- ja vesialueet (sis. arvonkorotukset),Maa- ja vesialueet (ilman arvonkorotuksia),,2023
7,1104,Kiinteistöjen vuokraoikeudet ja niihin liittyvät liittymismaksut,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Maa- ja vesialueet (sis. arvonkorotukset),Maa- ja vesialueet (ilman arvonkorotuksia),,2023
8,1105,Maa- ja vesialueiden arvonkorotukset,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Maa- ja vesialueet (sis. arvonkorotukset),,,2023
9,1115,Asuinrakennukset,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Rakennukset,,,2023
10,1116,Muut rakennukset,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Rakennukset,,,2023
11,1130,Kiinteät rakenteet ja laitteet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,,,"Kunta, ky, LL, Kons",2023
12,1160,Kuljetusvälineet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Koneet ja kalusto,,,2023
13,1165,Tietokonelaitteet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Koneet ja kalusto,,,2023
14,1166,Viestintälaitteet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Koneet ja kalusto,,,2023
15,1170,Muut koneet ja kalusto,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Koneet ja kalusto,,,2023
16,1180,Luonnonvarat,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Muut aineelliset hyödykkeet,,,2023
17,1184,Arvo- ja taide-esineet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Muut aineelliset hyödykkeet,,,2023
18,1187,Muut hyödykkeet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Muut aineelliset hyödykkeet,,,2023
19,1190,Ennakkomaksut,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Ennakkomaksut ja keskeneräiset hankinnat,,,2023
20,1195,Keskeneräiset hankinnat,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Aineelliset hyödykkeet,Ennakkomaksut ja keskeneräiset hankinnat,,,2023
21,1200,Osakkuusyhteisöosakkeet ja -osuudet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Osakkuusyhteisöosuudet,,,2023
22,1201,Yhteisyhteisöosakkeet ja -osuudet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Osakkuusyhteisöosuudet,,,2023
23,1202,Muut osakkeet ja osuudet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Osakkuusyhteisöosuudet,,,2023
24,1204,Osakkeet ja osuudet tytäryhteisöissä,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Osakkeet ja osuudet,,,2023
25,1205,Asunto-osakkeet tytäryhteisöissä,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Osakkeet ja osuudet,,,2023
26,1206,Kuntayhtymäosuudet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Osakkeet ja osuudet,,,2023
27,1209,Liikelaitosten peruspääomaosuudet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Osakkeet ja osuudet,,,2023
28,1210,Muiden taseyksiköiden peruspääomaosuudet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Osakkeet ja osuudet,,,2023
29,1212,Muut osakkeet ja osuudet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Osakkeet ja osuudet,,,2023
30,1213,Muut asunto-osakkeet,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Osakkeet ja osuudet,,,2023
31,1214,Osakkeiden ja osuuksien arvonkorotukset,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Osakkeet ja osuudet,,,2023
32,1222,Joukkovelkakirjalainasaamiset,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,,,"Kunta, ky, LL, Kons",2023
33,1237,Pääomalainasaamiset,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Muut lainasaamiset,,,2023
34,1239,Muut lainasaamiset,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Muut lainasaamiset,,,2023
35,1247,Muut saamiset,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Muut saamiset,,,2023
36,1248,Liittymismaksut palautettavat,tase,TASE VASTAAVAA,PYSYVÄT VASTAAVAT,Sijoitukset,Muut saamiset,,,2023
37,1410,Välitetyt valtion lainat,tase,TASE VASTAAVAA,TOIMEKSIANTOJEN VARAT,Valtion toimeksiannot,,,,2023
38,1420,Muut valtion toimeksiannot,tase,TASE VASTAAVAA,TOIMEKSIANTOJEN VARAT,Valtion toimeksiannot,,,,2023
39,1440,Lahjoitusrahastojen varat,tase,TASE VASTAAVAA,TOIMEKSIANTOJEN VARAT,,,,"Kunta, ky, LL, Kons",2023
40,1460,Muut toimeksiantojen varat,tase,TASE VASTAAVAA,TOIMEKSIANTOJEN VARAT,,,,"Kunta, ky, LL, Kons",2023
41,1500,Aineet ja tarvikkeet,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Vaihto-omaisuus,,,"Kunta, ky, LL, Kons",2023
42,1530,Keskeneräiset tuotteet,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Vaihto-omaisuus,,,"Kunta, ky, LL, Kons",2023
43,1550,Valmiit tuotteet,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Vaihto-omaisuus,,,"Kunta, ky, LL, Kons",2023
44,1570,Muu vaihto-omaisuus,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Vaihto-omaisuus,,,"Kunta, ky, LL, Kons",2023
45,1590,Ennakkomaksut,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Vaihto-omaisuus,,,"Kunta, ky, LL, Kons",2023
46,1600,Myyntisaamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Pitkäaikaiset saamiset,,"Kunta, ky, LL, Kons",2023
47,1630,Lainasaamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Pitkäaikaiset saamiset,,"Kunta, ky, LL, Kons",2023
48,1640,Saamiset kunnalta ja kuntayhtymältä,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Pitkäaikaiset saamiset,,LL,2023
49,1650,Laskennalliset verosaamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Pitkäaikaiset saamiset,,Kons,2023
50,1688,Muut saamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Pitkäaikaiset saamiset,,"Kunta, ky, LL, Kons",2023
51,1711,Siirtyvät korot,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Pitkäaikaiset saamiset,Siirtosaamiset,,2023
52,1712,Muut siirtosaamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Pitkäaikaiset saamiset,Siirtosaamiset,,2023
53,1720,Myyntisaamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Lyhytaikaiset saamiset,,"Kunta, ky, LL, Kons",2023
54,1750,Lainasaamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Lyhytaikaiset saamiset,,"Kunta, ky, LL, Kons",2023
55,1760,Saamiset kunnalta ja kuntayhtymältä,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Lyhytaikaiset saamiset,,LL,2023
56,1770,Laskennalliset verosaamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Lyhytaikaiset saamiset,,Kons,2023
57,1800,Muut saamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Lyhytaikaiset saamiset,Muut saamiset,,2023
58,1810,Alv-saamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Lyhytaikaiset saamiset,Muut saamiset,,2023
59,1816,Siirtyvät korot,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Lyhytaikaiset saamiset,Siirtosaamiset,,2023
60,1829,Muut siirtosaamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Saamiset,Lyhytaikaiset saamiset,Siirtosaamiset,,2023
61,1830,Osakkeet ja osuudet,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Rahoitusarvopaperit,,,"Kunta, ky, LL, Kons",2023
62,1850,Sijoitukset valtion velkasitoumuksiin,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Rahoitusarvopaperit,Sijoitukset rahamarkkinainstrumentteihin,,,2023
63,1855,Sijoitukset kuntatodistuksiin,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Rahoitusarvopaperit,Sijoitukset rahamarkkinainstrumentteihin,,,2023
64,1860,Sijoitukset muihin rahamarkkinainstrumentteihin,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Rahoitusarvopaperit,Sijoitukset rahamarkkinainstrumentteihin,,,2023
65,1870,Joukkovelkakirjalainasaamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Rahoitusarvopaperit,,,"Kunta, ky, LL, Kons",2023
66,1891,Rahasto-osuudet (yhteensä),tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Rahoitusarvopaperit,Muut arvopaperit,,,2023
67,1892,Muut arvopaperit,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,Rahoitusarvopaperit,Muut arvopaperit,,,2023
68,1900,Rahat ja pankkisaamiset,tase,TASE VASTAAVAA,VAIHTUVAT VASTAAVAT,,,,"Kunta, ky, LL, Kons",2023
69,2000,Peruspääoma,tase,TASE VASTATTAVAA,OMA PÄÄOMA,,,,"Kunta, ky, LL, Kons",2023
70,2005,Säätiöiden ja yhdistysten peruspääomat,tase,TASE VASTATTAVAA,OMA PÄÄOMA,,,,Kons,2023
71,2010,Arvonkorotusrahasto,tase,TASE VASTATTAVAA,OMA PÄÄOMA,,,,"Kunta, ky, LL, Kons",2023
72,2015,Muut omat rahastot,tase,TASE VASTATTAVAA,OMA PÄÄOMA,,,,"Kunta, ky, LL, Kons",2023
73,2040,Edellisten tilikausien ylijäämä (alijäämä),tase,TASE VASTATTAVAA,OMA PÄÄOMA,,,,"Kunta, ky, LL, Kons",2023
74,2050,Tilikauden ylijäämä (alijäämä),tase,TASE VASTATTAVAA,OMA PÄÄOMA,,,,"Kunta, ky, LL, Kons",2023
75,2060,Vähemmistöosuudet,tase,TASE VASTATTAVAA,VÄHEMMISTÖOSUUDET,,,,,2023
76,2100,Poistoero,tase,TASE VASTATTAVAA,POISTOERO JA VAPAAEHTOISET VARAUKSET,,,,"Kunta, ky, LL",2023
77,2110,Vapaaehtoiset varaukset,tase,TASE VASTATTAVAA,POISTOERO JA VAPAAEHTOISET VARAUKSET,,,,"Kunta, ky, LL",2023
78,2120,Eläkevaraukset,tase,TASE VASTATTAVAA,PAKOLLISET VARAUKSET,,,,"Kunta, ky, LL, Kons",2023
79,2130,Muut pakolliset varaukset,tase,TASE VASTATTAVAA,PAKOLLISET VARAUKSET,,,,"Kunta, ky, LL, Kons",2023
80,2300,Välitettävät valtion lainat,tase,TASE VASTATTAVAA,TOIMEKSIANTOJEN PÄÄOMAT,Valtion toimeksiannot,,,,2023
81,2310,Välitetyt valtion lainat,tase,TASE VASTATTAVAA,TOIMEKSIANTOJEN PÄÄOMAT,Valtion toimeksiannot,,,,2023
82,2320,Muut valtion toimeksiantojen pääomat,tase,TASE VASTATTAVAA,TOIMEKSIANTOJEN PÄÄOMAT,Valtion toimeksiannot,,,,2023
83,2325,Lahjoitusrahastojen pääomat,tase,TASE VASTATTAVAA,TOIMEKSIANTOJEN PÄÄOMAT,,,,"Kunta, ky, LL, Kons",2023
84,2330,Muut toimeksiantojen pääomat,tase,TASE VASTATTAVAA,TOIMEKSIANTOJEN PÄÄOMAT,,,,"Kunta, ky, LL, Kons",2023
85,2399,Konsernireservi,tase,TASE VASTATTAVAA,KONSERNIRESERVI,,,,,2023
86,2400,Joukkovelkakirjalainat,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Pitkäaikainen (korollinen vieras pääoma),,,"Kunta, ky, LL, Kons",2023
87,2410,Lainat rahoitus- ja vakuutuslaitoksilta,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Pitkäaikainen (korollinen vieras pääoma),,,"Kunta, ky, LL, Kons",2023
88,2415,Lainat kunnalta/kuntayhtymältä,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Pitkäaikainen (korollinen vieras pääoma),,,LL,2023
89,2420,Lainat julkisyhteisöiltä,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Pitkäaikainen (korollinen vieras pääoma),,,"Kunta, ky, LL, Kons",2023
90,2430,Lainat muilta luotonantajilta,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Pitkäaikainen (korollinen vieras pääoma),,,"Kunta, ky, LL, Kons",2023
91,2449,Saadut ennakot,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Pitkäaikainen (koroton vieras pääoma),,,"Kunta, ky, LL, Kons",2023
92,2457,Ostovelat,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Pitkäaikainen (koroton vieras pääoma),,,"Kunta, ky, LL, Kons",2023
93,2458,Korottomat velat kunnalta/kuntayhtymältä,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Pitkäaikainen (koroton vieras pääoma),,,LL,2023
94,2460,Johdannaissopimusten perusteella vastaanotetut käteisvakuudet,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Pitkäaikainen (koroton vieras pääoma),Muut velat/Liittymismaksut ja muut velat,,,2023
95,2469,Liittymismaksut ja muut velat,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Pitkäaikainen (koroton vieras pääoma),Muut velat/Liittymismaksut ja muut velat,,,2023
96,2470,Siirtovelat,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Pitkäaikainen (koroton vieras pääoma),,,"Kunta, ky, LL, Kons",2023
97,2480,Laskennalliset verovelat,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Pitkäaikainen (koroton vieras pääoma),,,Kons,2023
98,2500,Joukkovelkakirjalainat,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (korollinen vieras pääoma),,"Kunta, ky, LL, Kons",2023
99,2501,"Pitkäaikaisten lainojen seuraavan vuoden lyhennykset, joukkovelkakirjalainat",tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (korollinen vieras pääoma),,"Kunta, ky, LL, Kons",2023
100,2510,Lainat rahoitus- ja vakuutuslaitoksilta,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (korollinen vieras pääoma),,"Kunta, ky, LL, Kons",2023
101,2511,"Pitkäaikaisten lainojen seuraavan vuoden lyhennykset, lainat rahoitus- ja vakuutuslaitoksilta",tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (korollinen vieras pääoma),,"Kunta, ky, LL, Kons",2023
102,2515,Lainat kunnalta/kuntayhtymältä,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (korollinen vieras pääoma),,LL,2023
103,2516,"Pitkäaikaisten lainojen seuraavan vuoden lyhennykset, lainat kunnalta/kuntayhtymältä",tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (korollinen vieras pääoma),,LL,2023
104,2520,Lainat julkisyhteisöiltä,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (korollinen vieras pääoma),,"Kunta, ky, LL, Kons",2023
105,2521,"Pitkäaikaisten lainojen seuraavan vuoden lyhennykset, lainat julkisyhteisöiltä, tili",tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (korollinen vieras pääoma),,"Kunta, ky, LL, Kons",2023
106,2530,Lainat muilta luotonantajilta,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (korollinen vieras pääoma),,"Kunta, ky, LL, Kons",2023
107,2531,"Pitkäaikaisten lainojen seuraavan vuoden lyhennykset, lainat muilta luotonantajilta, tili",tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (korollinen vieras pääoma),,"Kunta, ky, LL, Kons",2023
108,2540,Saadut ennakot,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (koroton vieras pääoma),,"Kunta, ky, LL, Kons",2023
109,2545,Ostovelat,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (koroton vieras pääoma),,"Kunta, ky, LL, Kons",2023
110,2550,Korottomat velat kunnalta/kuntayhtymältä,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (koroton vieras pääoma),,LL,2023
111,2561,Johdannaissopimusten perusteella vastaanotetut käteisvakuudet,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (koroton vieras pääoma),Muut velat/Liittymismaksut ja muut velat,,2023
112,2563,Alv-velka,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (koroton vieras pääoma),Muut velat/Liittymismaksut ja muut velat,,2023
113,2568,Liittymismaksuvelat,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (koroton vieras pääoma),Muut velat/Liittymismaksut ja muut velat,,2023
114,2569,Muut velat,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (koroton vieras pääoma),Muut velat/Liittymismaksut ja muut velat,,2023
115,2579,Siirtyvät korot,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (koroton vieras pääoma),Siirtovelat,,2023
116,2580,Lomapalkkajaksotus,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (koroton vieras pääoma),Siirtovelat,,2023
117,2589,Muut siirtovelat,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (koroton vieras pääoma),Siirtovelat,,2023
118,2590,Laskennalliset verovelat,tase,TASE VASTATTAVAA,VIERAS PÄÄOMA,Lyhytaikainen,Lyhytaikainen (koroton vieras pääoma),,Kons,2023
119,3005,Myyntituotot,tuloslaskelma,TOIMINTATUOTOT,Myyntituotot/Liikevaihto,,,,,2023
120,3070,Liiketoiminnan muut tuotot,tuloslaskelma,TOIMINTATUOTOT,Myyntituotot/Liikevaihto,,,,LL,2023
121,3295,Maksutuotot,tuloslaskelma,TOIMINTATUOTOT,Maksutuotot,,,,,2023
122,3300,Tuet ja avustukset (muilta),tuloslaskelma,TOIMINTATUOTOT,Tuet ja avustukset,,,,"Kunta, ky, LL",2023
123,3390,Palkkatuki,tuloslaskelma,TOIMINTATUOTOT,Tuet ja avustukset,,,,,2023
124,3440,Maa- ja vesialueiden vuokrat,tuloslaskelma,TOIMINTATUOTOT,Muut toimintatuotot,,,,,2023
125,3499,"Vuokratuotot, muut",tuloslaskelma,TOIMINTATUOTOT,Muut toimintatuotot,,,,,2023
126,3510,Pysyvien vastaavien hyödykkeiden luovutusvoitot,tuloslaskelma,TOIMINTATUOTOT,Muut toimintatuotot,,,,,2023
127,3521,Vakuutusyhtiöiden vahinkovakuutuskorvaukset,tuloslaskelma,TOIMINTATUOTOT,Muut toimintatuotot,,,,,2023
128,3530,Muut tuotot,tuloslaskelma,TOIMINTATUOTOT,Muut toimintatuotot,,,,,2023
129,3533,Liiketoiminnan muut tuotot,tuloslaskelma,TOIMINTATUOTOT,Muut toimintatuotot,,,,LL,2023
130,3536,Sakot ja uhkasakot,tuloslaskelma,TOIMINTATUOTOT,Muut toimintatuotot,,,,,2023
131,3560,Tuet ja avustukset kunnalta/kuntayhtymältä,tuloslaskelma,TOIMINTATUOTOT,Muut toimintatuotot,,,,LL,2023
132,3610,Valmiiden ja keskeneräisten tuotteiden varastojen lisäys tai vähennys,tuloslaskelma,TOIMINTATUOTOT,Valmistevarastojen muutos,,,,"Kunta, ky, LL",2023
133,3710,Valmistus omaan käyttöön,tuloslaskelma,TOIMINTATUOTOT,VALMISTUS OMAAN KÄYTTÖÖN,,,,"Kunta, ky",2023
134,4000,Maksetut palkat ja palkkiot,tuloslaskelma,TOIMINTAKULUT,Henkilöstökulut,,,,,2023
135,4060,Jaksotetut palkat ja palkkiot,tuloslaskelma,TOIMINTAKULUT,Henkilöstökulut,,,,,2023
136,4065,Aktivoidut palkat ja palkkiot,tuloslaskelma,TOIMINTAKULUT,Henkilöstökulut,,,,,2023
137,4090,Henkilöstökorvaukset,tuloslaskelma,TOIMINTAKULUT,Henkilöstökulut,,,,,2023
138,4110,Eläkevakuutusmaksut,tuloslaskelma,TOIMINTAKULUT,Henkilöstökulut,,,,,2023
139,4120,Maksetut eläkkeet,tuloslaskelma,TOIMINTAKULUT,Henkilöstökulut,,,,,2023
140,4130,Jaksotetut eläkekulut,tuloslaskelma,TOIMINTAKULUT,Henkilöstökulut,,,,,2023
141,4135,Aktivoidut eläkemenot,tuloslaskelma,TOIMINTAKULUT,Henkilöstökulut,,,,,2023
142,4190,Jaksotetut  sosiaalivakuutusmaksut,tuloslaskelma,TOIMINTAKULUT,Henkilöstökulut,,,,,2023
143,4200,Aktivoidut sosiaalivakuutusmaksut,tuloslaskelma,TOIMINTAKULUT,Henkilöstökulut,,,,,2023
144,4210,Muut henkilösivukulut,tuloslaskelma,TOIMINTAKULUT,Henkilöstökulut,,,,,2023
145,4300,Asiakaspalvelujen ostot,tuloslaskelma,TOIMINTAKULUT,Palvelujen ostot,,,,,2023
146,4315,Palveluseteli,tuloslaskelma,TOIMINTAKULUT,Palvelujen ostot,,,,,2023
147,4340,Asiantuntijapalvelut,tuloslaskelma,TOIMINTAKULUT,Palvelujen ostot,,,,,2023
148,4341,Toimistopalvelut,tuloslaskelma,TOIMINTAKULUT,Palvelujen ostot,,,,,2023
149,4342,ICT-palvelut,tuloslaskelma,TOIMINTAKULUT,Palvelujen ostot,,,,,2023
150,4344,Rahoitus- ja pankkipalvelut,tuloslaskelma,TOIMINTAKULUT,Palvelujen ostot,,,,,2023
151,4346,Työvoiman vuokraus,tuloslaskelma,TOIMINTAKULUT,Palvelujen ostot,,,,,2023
152,4350,"Painatukset, ilmoitukset ja markkinointi",tuloslaskelma,TOIMINTAKULUT,Palvelujen ostot,,,,,2023
153,4360,Posti- ja kuriiripalvelut,tuloslaskelma,TOIMINTAKULUT,Palvelujen ostot,,,,,2023
154,4370,Vakuutukset,tuloslaskelma,TOIMINTAKULUT,Palvelujen ostot,,,,,2023
155,4380,Puhtaanapito- ja pesulapalvelut,tuloslaskelma,TOIMINTAKULUT,Palvelujen ostot,,,,,2023
156,4390,Rakennusten ja alueiden rakentamis- ja kunnossapitopalvelut,tuloslaskelma,TOIMINTAKULUT,Palvelujen ostot,,,,,2023
